2025-11-19T02:53:07.188Z | IP: 172.225.173.129 | Status: 200 | Time: 1258ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.897,"faces":0.153,"jerseys":0.064,"time_ocr":0.806}}
2025-11-19T02:53:07.446Z | IP: 191.95.51.210 | Status: 200 | Time: 1238ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"9:29","image_processed":true,"total_detections":0,"processing_times":{"total":1.08,"faces":0.19,"jerseys":0.014,"time_ocr":0.969}}
2025-11-19T02:53:08.830Z | IP: 191.91.80.179 | Status: 200 | Time: 1016ms | Data: {"num_faces":1,"faces":[{"bbox":[152,516,345,323],"label":"undefined","score":0.9999755620956421}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.906,"faces":0.196,"jerseys":0.116,"time_ocr":0.855}}
2025-11-19T02:53:09.264Z | IP: 172.225.173.129 | Status: 200 | Time: 1194ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.889,"faces":0.179,"jerseys":0.015,"time_ocr":0.758}}
2025-11-19T02:53:09.363Z | IP: 191.95.51.210 | Status: 200 | Time: 1251ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"59:31","image_processed":true,"total_detections":0,"processing_times":{"total":1.023,"faces":0.169,"jerseys":0.024,"time_ocr":0.927}}
2025-11-19T02:53:10.901Z | IP: 191.91.80.179 | Status: 200 | Time: 1087ms | Data: {"num_faces":1,"faces":[{"bbox":[185,619,374,430],"label":"undefined","score":0.9999994039535522}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.972,"faces":0.14,"jerseys":0.077,"time_ocr":0.92}}
2025-11-19T02:53:11.183Z | IP: 172.225.173.129 | Status: 200 | Time: 1230ms | Data: {"num_faces":1,"faces":[{"bbox":[144,258,176,226],"label":"undefined","score":0.9993131160736084}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.915,"faces":0.233,"jerseys":0.081,"time_ocr":0.792}}
2025-11-19T02:53:11.420Z | IP: 191.95.51.210 | Status: 200 | Time: 1311ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"59:33","image_processed":true,"total_detections":0,"processing_times":{"total":1.135,"faces":0.152,"jerseys":0.018,"time_ocr":1.07}}
2025-11-19T02:53:12.986Z | IP: 191.91.80.179 | Status: 200 | Time: 1086ms | Data: {"num_faces":1,"faces":[{"bbox":[153,421,338,236],"label":"undefined","score":0.9802781939506531}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.969,"faces":0.234,"jerseys":0.126,"time_ocr":0.911}}
2025-11-19T02:53:13.232Z | IP: 172.225.173.129 | Status: 200 | Time: 1270ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.905,"faces":0.16,"jerseys":0.015,"time_ocr":0.812}}
2025-11-19T02:53:13.538Z | IP: 191.95.51.210 | Status: 200 | Time: 1348ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"59:34","image_processed":true,"total_detections":0,"processing_times":{"total":1.178,"faces":0.144,"jerseys":0.015,"time_ocr":1.106}}
